date,machine_no,model,diff,spins,big,reg,event_tag,,
2025/3/15,828,アイムジャグラーEX,-400,"5,369",19,14,ファン感,リニューアルオープン,0
2025/3/15,829,アイムジャグラーEX,700,"8,157",33,26,ファン感,リニューアルオープン,0
2025/3/15,830,アイムジャグラーEX,"-2,900","6,477",14,16,ファン感,リニューアルオープン,0
2025/3/15,745,ゴーゴージャグラー3,-900,"6,201",20,17,ファン感,リニューアルオープン,0
2025/3/15,746,ゴーゴージャグラー3,"1,300","6,528",33,11,ファン感,リニューアルオープン,0
2025/3/15,747,ゴーゴージャグラー3,"4,500","8,638",50,30,ファン感,リニューアルオープン,0
2025/3/15,748,ゴーゴージャグラー3,"1,300","8,514",31,42,ファン感,リニューアルオープン,0
2025/3/15,749,ゴーゴージャグラー3,"-1,400","6,660",20,21,ファン感,リニューアルオープン,0
2025/3/15,750,ゴーゴージャグラー3,"-2,500","7,008",21,10,ファン感,リニューアルオープン,0
2025/3/15,771,ゴーゴージャグラー3,"-1,400","6,874",22,18,ファン感,リニューアルオープン,0
2025/3/15,772,ゴーゴージャグラー3,"-1,000","7,809",28,23,ファン感,リニューアルオープン,0
2025/3/15,773,ゴーゴージャグラー3,"-2,300","5,604",15,11,ファン感,リニューアルオープン,0
2025/3/15,774,ゴーゴージャグラー3,"4,800","6,750",42,32,ファン感,リニューアルオープン,0
2025/3/15,775,ゴーゴージャグラー3,-600,"7,016",29,20,ファン感,リニューアルオープン,0
2025/3/15,776,ゴーゴージャグラー3,"-2,300","7,804",21,26,ファン感,リニューアルオープン,0
2025/3/15,735,ファンキージャグラー,-700,"6,333",22,17,ファン感,リニューアルオープン,0
2025/3/15,736,ファンキージャグラー,"1,600","6,461",29,19,ファン感,リニューアルオープン,0
2025/3/15,737,ファンキージャグラー,"-1,200","6,838",17,25,ファン感,リニューアルオープン,0
2025/3/15,738,ファンキージャグラー,600,"6,570",29,16,ファン感,リニューアルオープン,0
2025/3/15,739,ファンキージャグラー,"1,800","8,009",43,11,ファン感,リニューアルオープン,0
2025/3/15,740,ファンキージャグラー,"1,700","5,538",28,13,ファン感,リニューアルオープン,0
2025/3/15,741,ファンキージャグラー,"2,200","7,807",39,22,ファン感,リニューアルオープン,0
2025/3/15,742,ファンキージャグラー,800,"8,397",38,21,ファン感,リニューアルオープン,0
2025/3/15,743,ファンキージャグラー,"1,300","7,564",31,24,ファン感,リニューアルオープン,0
2025/3/15,744,ファンキージャグラー,"1,700","7,591",34,24,ファン感,リニューアルオープン,0
2025/3/15,781,ジャグラーガールズ,"2,000","7,582",39,20,ファン感,リニューアルオープン,0
2025/3/15,782,ジャグラーガールズ,-500,"4,833",18,11,ファン感,リニューアルオープン,0
2025/3/15,783,ジャグラーガールズ,200,"6,932",26,23,ファン感,リニューアルオープン,0
2025/3/15,784,ジャグラーガールズ,300,"5,930",24,20,ファン感,リニューアルオープン,0
2025/3/15,785,ジャグラーガールズ,-900,"5,971",21,13,ファン感,リニューアルオープン,0
2025/3/15,786,ジャグラーガールズ,"1,200","7,482",36,18,ファン感,リニューアルオープン,0
2025/3/15,787,ウルトラミラクルジャグラー,-300,"6,965",26,14,ファン感,リニューアルオープン,0
2025/3/15,788,ウルトラミラクルジャグラー,400,"7,443",31,22,ファン感,リニューアルオープン,0
2025/3/15,789,ウルトラミラクルジャグラー,-300,"4,979",17,13,ファン感,リニューアルオープン,0
2025/3/15,790,ウルトラミラクルジャグラー,600,"7,528",30,25,ファン感,リニューアルオープン,0
2025/3/15,777,ミスタージャグラー,-300,"5,918",23,13,ファン感,リニューアルオープン,0
2025/3/15,778,ミスタージャグラー,100,"5,406",21,12,ファン感,リニューアルオープン,0
2025/3/15,779,ミスタージャグラー,-700,"5,930",17,22,ファン感,リニューアルオープン,0
2025/3/15,780,ミスタージャグラー,-600,"5,485",22,8,ファン感,リニューアルオープン,0
2025/3/16,798,マイジャグラーV,200,"5,406",23,12,ファン感,0,0
2025/3/16,799,マイジャグラーV,"2,400","5,423",33,10,ファン感,0,0
2025/3/16,800,マイジャグラーV,400,"8,351",33,23,ファン感,0,0
2025/3/16,801,マイジャグラーV,300,"3,755",15,9,ファン感,0,0
2025/3/16,802,マイジャグラーV,-900,"3,462",11,5,ファン感,0,0
2025/3/16,803,マイジャグラーV,"1,100","7,821",34,24,ファン感,0,0
2025/3/16,804,マイジャグラーV,-100,"7,823",29,21,ファン感,0,0
2025/3/16,805,マイジャグラーV,"-1,600","4,970",14,10,ファン感,0,0
2025/3/16,806,マイジャグラーV,"-1,800","6,482",18,20,ファン感,0,0
2025/3/16,807,マイジャグラーV,100,"7,039",26,23,ファン感,0,0
2025/3/16,808,マイジャグラーV,"-1,700","4,239",10,8,ファン感,0,0
2025/3/16,809,マイジャグラーV,-600,"4,598",18,6,ファン感,0,0
2025/3/16,810,マイジャグラーV,"-1,200","7,175",26,15,ファン感,0,0
2025/3/16,811,マイジャグラーV,"3,500","8,262",40,36,ファン感,0,0
2025/3/16,812,マイジャグラーV,-100,"8,552",33,25,ファン感,0,0
2025/3/16,813,マイジャグラーV,-100,"6,068",23,18,ファン感,0,0
2025/3/16,814,マイジャグラーV,"-1,300","5,219",14,13,ファン感,0,0
2025/3/16,815,マイジャグラーV,"2,200","6,307",34,11,ファン感,0,0
2025/3/16,816,マイジャグラーV,300,"5,598",25,11,ファン感,0,0
2025/3/16,817,マイジャグラーV,100,"6,384",26,16,ファン感,0,0
2025/3/16,818,マイジャグラーV,"-1,300","6,843",19,23,ファン感,0,0
2025/3/16,819,マイジャグラーV,-400,"6,231",21,19,ファン感,0,0
2025/3/16,820,マイジャグラーV,"2,000","5,746",34,7,ファン感,0,0
2025/3/16,821,マイジャグラーV,-300,"4,844",19,10,ファン感,0,0
2025/3/16,822,マイジャグラーV,-800,"3,589",11,5,ファン感,0,0
2025/3/16,823,マイジャグラーV,-100,"6,209",22,20,ファン感,0,0
2025/3/16,791,アイムジャグラーEX,"-1,200","6,368",20,15,ファン感,0,0
2025/3/16,792,アイムジャグラーEX,-300,"7,008",26,17,ファン感,0,0
2025/3/16,793,アイムジャグラーEX,"1,600","6,870",28,32,ファン感,0,0
2025/3/16,794,アイムジャグラーEX,-500,"5,318",19,16,ファン感,0,0
2025/3/16,795,アイムジャグラーEX,"1,600","5,428",28,14,ファン感,0,0
2025/3/16,796,アイムジャグラーEX,700,"7,101",30,16,ファン感,0,0
2025/3/16,797,アイムジャグラーEX,"-1,300","5,380",15,16,ファン感,0,0
2025/3/16,824,アイムジャグラーEX,-700,"2,663",8,5,ファン感,0,0
2025/3/16,825,アイムジャグラーEX,400,"4,188",17,10,ファン感,0,0
2025/3/16,826,アイムジャグラーEX,"1,000","5,782",27,10,ファン感,0,0
2025/3/16,827,アイムジャグラーEX,"-1,700","3,312",7,8,ファン感,0,0
2025/3/16,828,アイムジャグラーEX,"1,000","5,695",26,15,ファン感,0,0
2025/3/16,829,アイムジャグラーEX,"-1,500","5,417",16,12,ファン感,0,0
2025/3/16,830,アイムジャグラーEX,-800,"7,147",24,21,ファン感,0,0
2025/3/16,745,ゴーゴージャグラー3,"1,300","5,147",27,10,ファン感,0,0
2025/3/16,746,ゴーゴージャグラー3,-500,"8,321",27,32,ファン感,0,0
2025/3/16,747,ゴーゴージャグラー3,-500,"8,262",30,26,ファン感,0,0
2025/3/16,748,ゴーゴージャグラー3,"-1,900","4,643",12,12,ファン感,0,0
2025/3/16,749,ゴーゴージャグラー3,"1,500","8,002",36,24,ファン感,0,0
2025/3/16,750,ゴーゴージャグラー3,"1,800","7,046",34,27,ファン感,0,0
2025/3/16,771,ゴーゴージャグラー3,600,"6,446",27,25,ファン感,0,0
2025/3/16,772,ゴーゴージャグラー3,200,"3,728",18,6,ファン感,0,0
2025/3/16,773,ゴーゴージャグラー3,"1,500","8,187",41,18,ファン感,0,0
2025/3/16,774,ゴーゴージャグラー3,300,"5,953",24,20,ファン感,0,0
